kategoria,nazwa,adres,teryt_gmina
poz,"Przychodnia Stomatologiczna ""VITADENT"" Niepubliczny Zakład Opieki Zdrowotnej Jerzy Sklepkiewicz","Batalionu ""Parasol"" 9, 59-220 Legnica",0262011
poz,Uzdrowiska Kłodzkie S.A. - Grupa PGU zs. w Polanicy -Zdroju,"Zdrojowa 39, 57-320 Polanica-Zdrój",0208051
poz,Uzdrowiska Kłodzkie S.A. - Grupa PGU zs. w Polanicy -Zdroju Oddział Duszniki-Zdrój,"Zielona 23, 57-340 Duszniki-Zdrój",0208011
poz,Uzdrowiska Kłodzkie S.A. - Grupa PGU zs. w Polanicy -Zdroju Oddział Kudowa-Zdrój,"Zdrojowa 43, 57-350 Kudowa-Zdrój",0208031
poz,Uzdrowiska Kłodzkie S.A. - Grupa PGU zs. w Polanicy -Zdroju Oddział Duszniki-Zdrój,"Zielona 39, 57-340 Duszniki-Zdrój",0208011
poz,Centrum Medyczne MEDVITA,"Romualda Traugutta 1, 59-600 Lwówek Śląski",0212034
poz,W Sz P w Złotoryi Leczenie Stacjonarne,"Szpitalna 9, 59-500 Złotoryja",0226021
poz,W Sz P w Złotoryi Leczenie Stacjonarne L,"Chojnowska 81, 59-220 Legnica",0262011
poz,Stacjonarny Ośrodek Rehabilitacji Chorób Narządu Ruchu dla Dorosłych i Dzieci im. prof. dr W. Degii,"Stanisława Konarskiego 5B, 59-900 Zgorzelec",0225021
poz,Zakład dla Nerwowo i Psychicznie Chorych im. dr M. Marzyńskiego w Sieniawce,"Rolnicza 25, 59-921 Sieniawka",0225035
poz,Wielospecjalistyczny Szpital im. Jana Pawła II,"Lubańska 11/12, 59-900 Zgorzelec",0225021
poz,Wielospecjalistyczny Szpital im. Jana Pawła II - Poradnie Przyszpitalne,"Lubańska 11-12, 59-900 Zgorzelec",0225021
poz,Stacjonarny Ośrodek Rehabilitacji - Ambulatoria,"Stanisława Konarskiego 5 B, 59-900 Zgorzelec",0225021
poz,Przychodnia Rejonowa Wleń,"Ogrodowa 8, 59-610 Wleń",0212054
poz,Przychodnia Wielospecjalistyczna,"Malownicza 1, 59-620 Gryfów Śląski",0212014
poz,Przychodnia Rejonowa,"Marii Skłodowskiej-Curie 6, 59-970 Zawidów",0225011
poz,Ośrodek Zdrowia,"5 Grudnia 4, 59-940 Czerwona Woda",0225065
poz,Przychodnia Rejonowo - Specjalistyczna,"Warszawska 30, 59-900 Zgorzelec",0225021
poz,Wiejski Ośrodek Zdrowia,"Dłużyna Dolna 35, 59-930 Dłużyna Dolna",0225045
poz,Wiejski Ośrodek Zdrowia,"Trójca 93, 59-900 Trójca",0225072
poz,Przychodna Wielospecjalistyczna w Olszynie,"Wolności 20E, 59-830 Olszyna",0210054
poz,Ośrodek Zdrowia w Węglińcu,"Sikorskiego 40, 59-940 Węgliniec",0225064
poz,Zakłady Opiekuńczo - Lecznicze,"Nadbrzeżna 5A, 59-900 Zgorzelec",0225021
poz,"NZOZ ""MEDYK""","Gdyńska 25 A, 58-100 Świdnica",0219011
poz,"NZOZ ""MEDYK""","Licznikowa 3, 58-100 Świdnica",0219011
poz,"Prywatna Poliklinika ""Na Grobli"" Sp.z.o.o.","Ludwika Hirszfelda 1, 53-413 Wrocław",0264011
poz,"Prywatna Poliklinika ""Na Grobli"" Sp.z.o.o. Lecznictwo Szpitalne","Ludwika Hirszfelda 1, 53-413 Wrocław",0264039
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""Śródmieście - Biały Kamień"" Sp. z o.o. Filia Przychodnia Boguszów-Gorce","Władysława Stanisława Reymonta 2, 58-370 Boguszów-Gorce",0221011
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""Śródmieście - Biały Kamień""  Sp. z o.o. Przychodnia w Wałbrzychu","Piotra Wysockiego 24-24A, 58-304 Wałbrzych",0265011
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""Śródmieście - Biały Kamień"" Sp. z o.o. Przychodnia w Walimiu","Boczna 9, 58-320 Walim",0221082
poz,Punkt Lekarski w Pomocnem,"Pomocne 51, 59-424 Pomocne",0205032
poz,Gminne Centrum Zdrowia Nowa Męcinka,"Nowa Męcinka 28, 59-424 Nowa Męcinka",0205032
poz,Punkt Lekarski w Piotrowicach,"Piotrowice 113, 59-424 Piotrowice",0205032
poz,Sanatorium  Uzdrowiskowe Gracja,"Parkowa 3, 59-850 Świeradów-Zdrój",0210021
poz,Zakład Przyrodoleczniczy Świerkowy,"Marszałka Józefa Piłsudskiego 33, 59-850 Świeradów-Zdrój",0210021
poz,Zakład Przyrodoleczniczy Dom Zdrojowy,"3 Maja 1, 59-850 Świeradów-Zdrój",0210021
poz,Sanatorium Uzdrowiskowe Sanus,"Bolesława Prusa 4, 59-850 Świeradów-Zdrój",0210021
poz,Szpital Uzdrowiskowy Wacław,"Sienkiewicza 13, 59-850 Świeradów-Zdrój",0210021
poz,Szpital Uzdrowiskowy dla Dzieci,"Sanatoryjna 48, 59-850 Świeradów-Zdrój",0210021
poz,Praktyka Lekarza Rodzinnego,"Szwedzka 1B, 54-401 Wrocław-Fabryczna",0264029
poz,Ratownictwo Medyczne i Pomoc Doraźna Pogotowia Ratunkowego w Wałbrzychu,"Bolesława Chrobrego 39, 58-300 Wałbrzych",0265011
poz,Niepubliczny Zakład Opieki Zdrowotnej Wrocławskie Centrum SPA Spółka z o.o.,"Teatralna 10-12, 50-550 Wrocław",0264011
poz,Niepubliczny Zakład Opieki Zdrowotnej Wrocławskie Centrum SP A Masuria,"Worliny 33, 14-105 Worliny",2815042
poz,Niepubliczny Zakład Opieki Zdrowotnej Wrocławskie Centrum SP A Kazimierz Dolny,"Puławska 86, 24-120 Kazimierz Dolny",0614044
poz,ZAKŁAD LECZNICZO-OPIEKUŃCZY DLA DOROSŁYCH,"Będkowo 1, 55-100 Będkowo",0220035
poz,OTTO - PRODENT Ewa Staniszewska,"Jana Kilińskiego 36, 50-263 Wrocław",0264069
poz,OTTO - PRODENT Ewa Staniszewska Filia Nr 1,"Jana Kilińskiego 27, 50-263 Wrocław",0264069
poz,OTTO - PRODENT Ewa Staniszewska Filia nr 8,"Rogowska 52A, 54-440 Wrocław",0264029
poz,OTTO - PRODENT Ewa Staniszewska Filia Nr 9,"Tadeusza Rejtana 4,4A/1B, 50-015 Wrocław",0264059
poz,OTTO - PRODENT Ewa Staniszewska Filia nr 10,"Strzegomska 210-212, 54-432 Wrocław",0264029
poz,OTTO - PRODENT Ewa Staniszewska Filia nr 11,"Łukasza Górnickiego 20, 50-337 Wrocław",0264011
poz,PULSANTIS MAX,"Aleksandra Ostrowskiego 3, 53-238 Wrocław",0264029
poz,CENTRUM ZDROWIA PSYCHICZNEGO,"Stalowa 50, 53-433 Wrocław",0264011
poz,Przychodnia Kozanów,"Dokerska 9, 54-142 Wrocław",0264011
poz,Przychodnia Stabłowice,"Stabłowicka 125, 54-062 Wrocław",0264011
poz,Ośrodek Dziecięcych Porażeń Mózgowych Puchatek,"Samuela Bogumiła Lindego 19-21, 51-138 Wrocław",0264011
poz,Przychodnia Stare Miasto,"Dominikański 6, 50-159 Wrocław",0264011
poz,Ośrodek Opieki Zdrowotnej i Rehabilitacji CELMED,"Celtycka 15/17, 54-153 Wrocław",0264011
poz,Ośrodek Profilaktyczno-Leczniczy Chorób Zakaźnych i Terapii Uzależnień,"Wszystkich Świętych 2, 50-136 Wrocław",0264011
poz,"Przychodnia ""PROVITA""","Bierutowska 63, 51-317 Wrocław",0264011
poz,Praktyka Lekarza Rodzinnego Agata Wrońska - Kocąb,"Floriana Szarego 4, 57-300 Kłodzko",0208021
poz,Makowska & Kucharski DENT,"Sportowa 1B, 67-200 Głogów",0203011
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""AK MED""","Westerplatte 10, 58-100 Świdnica",0219011
poz,CORDIS S.C.,"Wiosenna 41, 55-093 Kiełczów",0223022
poz,ONKOMED Specjalistyczna Przychodnia Lekarska Marek Bębenek,"Tadeusza Kościuszki 109A/1U, 50-442 Wrocław",0264039
poz,"Centrum Medyczne ""Nowe Miasto""","11 Listopada 116, 58-302 Wałbrzych",0265011
poz,"Centrum Medyczne ""Nowe Miasto"" Filia w Zagórzu Śląskim","Główna 15, 58-320 Zagórze Śląskie",0221082
poz,"Centrum Medyczne ""Nowe Miasto"" Filia w Jedlinie-Zdroju","Akacjowa 2, 58-330 Jedlina-Zdrój",0221021
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""MEDYK"" s.c. B. Grzesiak, K. Kowalik, A. Wydra","Stefana Okrzei 6, 59-800 Lubań",0210011
