kategoria,nazwa,adres,teryt_gmina
przedszkole,"PRZEDSZKOLE SAMORZĄDOWE ""KAJTEK"" W NIECHANOWIE","Ogrodowa 4, 62-220 Niechanowo",3003082
przedszkole,PUBLICZNE PRZEDSZKOLE W JEDLNI - LETNISKO,"Słoneczna 5, 26-630 Jedlnia-Letnisko",1425064
przedszkole,PRZEDSZKOLE MIEJSKIE NR 1 W ZAMOŚCIU,"Okopowa 1, 22-400 Zamość",0664011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 9 W ZAMOŚCIU,"Oboźna 10, 22-400 Zamość",0664011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 10 W ZAMOŚCIU,"Lwowska 17, 22-400 Zamość",0664011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 1 IM. JANA BRZECHWY W TOMASZOWIE LUBELSKIM,"Chocimska 17, 22-600 Tomaszów Lubelski",0618011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 8 IM.JANA BRZECHWY W ZAMOŚCIU,"Kamienna 6, 22-400 Zamość",0664011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 2 W PILE,"Roosevelta 38A, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 3 W PILE,"Wincentego Pola 16, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 4 W PILE,"Kusocińskiego 10A, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 5 IM. NIEZAPOMINAJKI W PILE,"Marii Konopnickiej 7, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 6 IM. JASIA I MAŁGOSI W PILE,"Żeleńskiego 15, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 11 W PILE,"św. Jana Bosko 2, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 12 W PILE,"Reja 11, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 13 W PILE,"Kraszewskiego 2, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 14 IM. WRÓBELKA ELEMELKA W PILE,"Jana Brzechwy 10, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 15 W PILE,"Grabowa 20, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 16 IM. CZERWONEGO KAPTURKA W PILE,"Nad Gwdą 26, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 18 IM. KUBUSIA PUCHATKA W PILE,"Trentowskiego 3, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 19 IM. MISIA USZATKA W PILE,"Królowej Jadwigi 20, 64-920 Piła",3019011
przedszkole,PUBLICZNE PRZEDSZKOLE NR 17 IM. KRASNALA HAŁABAŁY W PILE,"Śniadeckich 3A, 64-920 Piła",3019011
przedszkole,"PRZEDSZKOLE ""ZŁOTA RYBKA""","Kościuszki 47, 72-022 Nowe Warpno",3211034
przedszkole,SAMORZĄDOWE PRZEDSZKOLE NR 1 W PRZECISZOWIE,"Szkolna 8, 32-641 Przeciszów",1213082
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 1 W KIELCACH,"Cypriana Kamila Norwida 5, 25-410 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 2 W KIELCACH,"Sowia 1b, 25-648 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 3 IM. ROBINSONA CRUSOE W KIELCACH,"Barwinek 33, 25-150 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 4 W KIELCACH IMIENIA WANDY CHOTOMSKIEJ,"Kujawska 21, 25-342 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 5 IM. DZIKA KIEŁKA W KIELCACH,"Jana Nowaka-Jeziorańskiego 67, 25-432 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 6 W KIELCACH,"Bukowa 8, 25-542 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 9 W KIELCACH,"Władysława Orkana 32, 25-547 Kielce",2661011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 5 „TĘCZA” W GLIWICACH,"Kozielska 73, 44-121 Gliwice",2466011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 14 IM. MARII KOWNACKIEJ W KIELCACH,"Kalcytowa 15, 25-705 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 16 IM. JANA BRZECHWY W KIELCACH,"Nowy Świat 34, 25-522 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 18 W KIELCACH,"Malików 3, 25-639 Kielce",2661011
