kategoria,nazwa,adres,teryt_gmina
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W JASIENICY DOLNEJ,"Jasienica Dolna 156, 48-315 Jasienica Dolna",1607042
szkola,ZESPÓŁ PORADNI PSYCHOLOGICZNO-PEDAGOGICZNYCH W CIESZYNIE,"Ignacego Kraszewskiego 13a, 43-400 Cieszyn",2403011
szkola,MŁODZIEŻOWE CENTRUM EDUKACJI I READAPTACJI SPOŁECZNEJ W GONIĄDZU,"Plac 11 Listopada 37, 19-110 Goniądz",2008014
szkola,ZESPÓŁ PLACÓWEK OŚWIATOWYCH W SKARŻYSKU-KAMIENNEJ,"Zwycięzców 13, 26-110 Skarżysko-Kamienna",2610011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 7,"26 Marca 66, 44-300 Wodzisław Śląski",2415041
szkola,POWIATOWE CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W DRAWSKU POMORSKIM,"Warmińska 1, 78-500 Drawsko Pomorskie",3203024
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 2 W MYSŁOWICACH,"Józefa Wybickiego 79, 41-400 Mysłowice",2470011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W MYSŁOWICACH,"Generała Jerzego Ziętka 116, 41-400 Mysłowice",2470011
szkola,ZESPÓŁ SZKÓŁ MECHANICZNO-ELEKTRONICZNYCH,"Jana III Sobieskiego 1, 41-902 Bytom",2462011
szkola,ZESPÓŁ SZKÓŁ W BOJANOWIE,"Parkowa 11, 37-433 Bojanów",1818022
szkola,ZESPÓŁ SZKÓŁ ADMINISTRACYJNO-EKONOMICZNYCH I OGÓLNOKSZTAŁCĄCYCH,"Stanisława Webera 6, 41-902 Bytom",2462011
szkola,GMINNY ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W CZARNYM BORZE,"Sportowa 44, 58-379 Czarny Bór",0221042
